,time_sec,stand_time_sec,F_kg,x_mm,y_mm,move_dist_mm,vx_mpers,vy_mpers,ax_mperss,ay_mperss,v_value,a_value
1,0.02,-2.44,6,44.4,-42.2,0.282842712,-0.025,0.02,-1.5,1,0.032015621,1.802775638
2,0.03,-2.43,6,44.1,-42,0.360555128,-0.04,0.03,-1.75,1,0.05,2.015564437
3,0.04,-2.42,6,43.6,-41.6,0.640312424,-0.06,0.04,-1.5,0.5,0.072111026,1.58113883
4,0.05,-2.41,6,42.9,-41.2,0.806225775,-0.07,0.04,-0.5,1.80E-14,0.080622577,0.5
5,0.06,-2.4,6,42.2,-40.8,0.806225775,-0.07,0.04,0.25,-1.80E-14,0.080622577,0.25
6,0.07,-2.39,6,41.5,-40.4,0.806225775,-0.065,0.04,1,-1.80E-14,0.076321688,1
7,0.08,-2.38,6,40.9,-40,0.721110255,-0.05,0.04,1.75,-0.5,0.064031242,1.820027472
8,0.09,-2.37,6,40.5,-39.6,0.565685425,-0.03,0.03,2,-1,0.042426407,2.236067977
9,0.1,-2.36,6,40.3,-39.4,0.282842712,-0.01,0.02,2.25,-0.5,0.02236068,2.304886114
10,0.11,-2.35,6,40.3,-39.2,0.2,0.015,0.02,2,-0.25,0.025,2.015564437
11,0.12,-2.34,6,40.6,-39,0.360555128,0.03,0.015,1,-0.5,0.03354102,1.118033989
12,0.13,-2.33,6,40.9,-38.9,0.316227766,0.035,0.01,0.5,-0.25,0.036400549,0.559016994
13,0.14,-2.32,6,41.3,-38.8,0.412310563,0.04,0.01,0.25,-1.78E-14,0.041231056,0.25
14,0.15,-2.31,6,41.7,-38.7,0.412310563,0.04,0.01,-0.25,0.25,0.041231056,0.353553391
15,0.16,-2.3,6,42.1,-38.6,0.412310563,0.035,0.015,-1,0.25,0.038078866,1.030776406
16,0.17,-2.29,6,42.4,-38.4,0.360555128,0.02,0.015,-1.5,-0.5,0.025,1.58113883
17,0.18,-2.28,6,42.5,-38.3,0.141421356,0.005,0.005,-1.25,-1,0.007071068,1.600781059
18,0.19,-2.27,6,42.5,-38.3,0,-0.005,-0.005,-1.25,-0.75,0.007071068,1.457737974
19,0.2,-2.26,6,42.4,-38.4,0.141421356,-0.02,-0.01,-1.25,-0.75,0.02236068,1.457737974
20,0.21,-2.25,6,42.1,-38.5,0.316227766,-0.03,-0.02,-0.5,-1.5,0.036055513,1.58113883
21,0.22,-2.24,6,41.8,-38.8,0.424264069,-0.03,-0.04,1.79E-14,-1.5,0.05,1.5
22,0.23,-2.23,6,41.5,-39.3,0.583095189,-0.03,-0.05,0,-0.75,0.058309519,0.75
23,0.24,-2.22,6,41.2,-39.8,0.583095189,-0.03,-0.055,0.5,-0.75,0.06264982,0.901387819
24,0.25,-2.21,6,40.9,-40.4,0.670820393,-0.02,-0.065,1.5,-0.25,0.068007353,1.520690633
25,0.26,-2.2,6,40.8,-41.1,0.707106781,0,-0.06,1.75,1,0.06,2.015564437
26,0.27,-2.19,6,40.9,-41.6,0.509901951,0.015,-0.045,1.5,1.25,0.047434165,1.952562419
27,0.28,-2.18,6,41.1,-42,0.447213595,0.03,-0.035,1.5,1.5,0.046097722,2.121320344
28,0.29,-2.17,6,41.5,-42.3,0.5,0.045,-0.015,1,2.25,0.047434165,2.46221445
29,0.3,-2.16,6,42,-42.3,0.5,0.05,0.01,0.5,1.75,0.050990195,1.820027472
30,0.31,-2.15,6,42.5,-42.1,0.538516481,0.055,0.02,0.25,1,0.0585235,1.030776406
31,0.32,-2.14,6,43.1,-41.9,0.632455532,0.055,0.03,-0.5,1,0.06264982,1.118033989
32,0.33,-2.13,6,43.6,-41.5,0.640312424,0.045,0.04,-1.25,0.5,0.060207973,1.346291202
33,0.34,-2.12,6,44,-41.1,0.565685425,0.03,0.04,-1.5,1.80E-14,0.05,1.5
34,0.35,-2.11,6,44.2,-40.7,0.447213595,0.015,0.04,-1.5,-0.5,0.042720019,1.58113883
35,0.36,-2.1,6,44.3,-40.3,0.412310563,0,0.03,-1.5,-1,0.03,1.802775638
36,0.37,-2.09,6,44.2,-40.1,0.223606798,-0.015,0.02,-1,-1,0.025,1.414213562
37,0.38,-2.08,6,44,-39.9,0.282842712,-0.02,0.01,-0.75,-1.25,0.02236068,1.457737974
38,0.39,-2.07,6,43.8,-39.9,0.2,-0.03,-0.005,-0.75,-1.5,0.030413813,1.677050983
39,0.4,-2.06,6,43.4,-40,0.412310563,-0.035,-0.02,-0.25,-1.75,0.040311289,1.767766953
40,0.41,-2.05,6,43.1,-40.3,0.424264069,-0.035,-0.04,-0.25,-1.75,0.053150729,1.767766953
41,0.42,-2.04,6,42.7,-40.8,0.640312424,-0.04,-0.055,-0.25,-1.25,0.068007353,1.274754878
42,0.43,-2.03,6,42.3,-41.4,0.721110255,-0.04,-0.065,1.80E-14,-0.75,0.076321688,0.75
43,0.44,-2.02,6,41.9,-42.1,0.806225775,-0.04,-0.07,0.25,-0.25,0.080622577,0.353553391
44,0.45,-2.01,6,41.5,-42.8,0.806225775,-0.035,-0.07,0.75,0.5,0.078262379,0.901387819
45,0.46,-2,6,41.2,-43.5,0.761577311,-0.025,-0.06,0.75,1.25,0.065,1.457737974
46,0.47,-1.99,6,41,-44,0.538516481,-0.02,-0.045,0.75,1.5,0.049244289,1.677050983
47,0.48,-1.98,6,40.8,-44.4,0.447213595,-0.01,-0.03,1.25,1.75,0.031622777,2.150581317
48,0.49,-1.97,6,40.8,-44.6,0.2,0.005,-0.01,1.25,1.5,0.01118034,1.952562419
49,0.5,-1.96,6,40.9,-44.6,0.1,0.015,0,1,0.75,0.015,1.25
50,0.51,-1.95,6,41.1,-44.6,0.2,0.025,0.005,1,0.25,0.025495098,1.030776406
51,0.52,-1.94,6,41.4,-44.5,0.316227766,0.035,0.005,0.5,-0.25,0.035355339,0.559016994
52,0.53,-1.93,6,41.8,-44.5,0.4,0.035,0,1.77E-14,-0.5,0.035,0.5
53,0.54,-1.92,6,42.1,-44.5,0.3,0.035,-0.005,-0.25,-0.25,0.035355339,0.353553391
54,0.55,-1.91,6,42.5,-44.6,0.412310563,0.03,-0.005,-0.5,0,0.030413813,0.5
55,0.56,-1.9,6,42.7,-44.6,0.2,0.025,-0.005,-0.5,0,0.025495098,0.5
56,0.57,-1.89,6,43,-44.7,0.316227766,0.02,-0.005,-0.75,0.5,0.020615528,0.901387819
57,0.58,-1.88,6,43.1,-44.7,0.1,0.01,0.005,-0.75,1,0.01118034,1.25
58,0.59,-1.87,6,43.2,-44.6,0.141421356,0.005,0.015,-0.75,0.75,0.015811388,1.060660172
59,0.6,-1.86,6,43.2,-44.4,0.2,-0.005,0.02,-1.25,0.5,0.020615528,1.346291202
60,0.61,-1.85,6,43.1,-44.2,0.223606798,-0.02,0.025,-1.25,0.5,0.032015621,1.346291202
61,0.62,-1.84,6,42.8,-43.9,0.424264069,-0.03,0.03,-0.75,0.25,0.042426407,0.790569415
62,0.63,-1.83,6,42.5,-43.6,0.424264069,-0.035,0.03,-0.5,-0.5,0.046097722,0.707106781
